artist_id;artist_name;artist_popularity;followers;genres
"2Dp1WxxWn4zWdltT5OMrVC6lobv83zx8aLotS2YXmfNZ";;;;
"18absyD7lQaXUDBXnyzU8M";"Mushroomhead";53;158070;"[""alternative metal"",""groove metal"",""industrial metal"",""industrial rock"",""melodic metalcore"",""metalcore"",""nu metal"",""post-grunge"",""rap metal"",""rap rock""]"
"2QOIawHpSlOwXDvSqQ9YJR3j7YF1zH6VwkwdtiMdDc3n";;;;
"73jBynjsVtofjRpdpRAJGk1Cs0zKBU1kc0i8ypK3B9ai4u5smJBskI6Adzv08PuiUP";;;;
"599W9qxs3LzkiiEmkoK6Kx";"Mirel Wagner";44;12129;"[""finnish pop""]"
"0tYc0gVOzssZmLpVO6wh7L";"The Thrills";41;14757;"[""britpop"",""folk christmas"",""indie christmas""]"
"4ddt8PPvmWrI9mJQy1VrIG";"Band Of Skulls";57;136655;"[""alt-indie rock"",""alternative rock"",""garage rock"",""indie rock"",""modern blues"",""modern rock"",""punk blues""]"
"6eJqAWJdd8JhAN1pQGie4r";"Casting Crowns";70;489348;"[""anthem worship"",""ccm"",""christian alternative rock"",""christian christmas"",""christian music"",""christian rock"",""worship""]"
"4chuPfKtATDZvbRLExsTp2";"Vashti Bunyan";50;31203;"[""anti-folk"",""british folk"",""chamber pop"",""folk-pop"",""freak folk"",""new weird america"",""singer-songwriter"",""traditional folk""]"
"2ayNSoKPCRAfjp6hQ76hRu0eHQ9o50hj6ZDNBt6Ys1sD4q3ewBCX7sLwd24euuV69X2T1aUibqR2QC2sINIDQOAK64aJYyrXljOodnUG6jvhRD";;;;
"3WD5rXrPAGH8jXKOJNclJY";"Secrets Of Scotland Yard";8;104;"[""drama""]"
"2JQ9OGncNXR1tFPLInvlPb";"Houston Stackhouse";20;138;"[""acoustic blues"",""blues"",""chicago blues"",""delta blues"",""louisiana blues"",""traditional blues""]"
"3gk0OYeLFWYupGFRHqLSR7";"Showtek";71;310372;"[""big room"",""deep big room"",""edm"",""electro house"",""hardstyle"",""progressive electro house"",""progressive house"",""tropical house""]"
"4cpsZRPYENvU3QH7kGz4tu";"Gun Outfit";38;2221;"[""garage punk""]"
"6Luf1q47JKj9GmkUuV4cj5";"Diane Cluck";34;4188;"[""anti-folk"",""freak folk"",""new weird america""]"
"2COi3lJPZHP2CjJBfofGwh";"Greg Bates";39;18974;"[""contemporary country"",""country road"",""lift kit"",""modern country rock""]"
